Agent,Score,Criterion
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,1,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,1,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,1,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,1,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,1,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,1,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,1,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,1,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,1,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,2,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,3,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,4,Coverage Changes
Claude_Code,5,Coverage Changes
